metric,requested_icc,realized_icc,panel_n0,observed_design_effect,formula_correct_n0,formula_ga4_n0
add_to_cart,-0.015,-0.01350229046579015,1.915102931149191,0.985698610494891,0.9876440144175277,0.9743506517799178
add_to_cart,0.0,-0.0006994937476437912,1.9108893257926112,1.0000047362212467,0.9993628386118126,0.9986712210971507
add_to_cart,0.0312,0.0323508776756745,1.9110748563078657,1.0289659193468874,1.0294740712297985,1.0614546790287924
add_to_cart,0.1,0.09868793848261866,1.9137364146787719,1.0900206880754506,1.0901747630811471,1.1874705114421937
add_to_cart,0.1921,0.1927309545820177,1.9129205135751481,1.1764962095976919,1.1759480420388442,1.3661173916668317
add_to_cart,0.3,0.2999028784249781,1.9146665872254698,1.2695779269410545,1.2743111423080697,1.5697043313071024
add_to_cart,0.5,0.4982190709796179,1.915898671685389,1.4506977346385188,1.4563181853185605,1.9464316053501702
purchase,-0.015,-0.009270172113862774,1.9120978686142038,0.988762553264764,0.991544695773259,0.982390108314512
purchase,0.0,-0.0007405854291870475,1.9129834031291353,0.9991912231735086,0.9993238577945529,0.9985931621299315
purchase,0.0312,0.031129839941371244,1.9120944677966676,1.0275414077886242,1.0283933547939204,1.0591351598245244
purchase,0.1,0.09570510563301775,1.914348542417315,1.0842497487511262,1.087507823837445,1.1818042344030828
purchase,0.1921,0.19615304244014936,1.910015674235201,1.1774681744327429,1.1785023431694586,1.3726180904434817
purchase,0.3,0.3017463235457159,1.911389891424933,1.2723994110947765,1.2750085490542027,1.5732061938945066
purchase,0.5,0.4944158668726459,1.9165268339918164,1.4455645158337724,1.4531454091401055,1.9392069269343915
