no_preperiod_share,policy,coverage,variance_reduction,predicted,bias
0.0,theta_zero,1.0,0.03594278870109935,0.0359567953865664,0.0001023411917304741
0.0,mean_impute,1.0,0.036108630070639025,0.0359567953865664,0.0008513585158677374
0.0,exclude,1.0,0.03597184145274268,0.0359567953865664,5.063905839041913e-05
0.2,theta_zero,0.8,0.02895015560230607,0.028765436309253118,-0.0008147343727663604
0.2,mean_impute,0.8,0.028754349701284876,0.028765436309253118,-0.000683131170184096
0.2,exclude,0.8,0.03603535368557975,0.028765436309253118,0.00034408774847727655
0.5,theta_zero,0.5,0.0180337385704179,0.0179783976932832,8.980463546916923e-05
0.5,mean_impute,0.5,0.017995834034891245,0.0179783976932832,3.08388934463083e-05
0.5,exclude,0.5,0.03597963808865523,0.0179783976932832,-0.0004711661654827719
0.8,theta_zero,0.19999999999999996,0.0071637940050697235,0.007191359077313278,-0.00028670366490254895
0.8,mean_impute,0.19999999999999996,0.0072372159350276855,0.007191359077313278,-0.0004676571048929101
0.8,exclude,0.19999999999999996,0.036319138858204036,0.007191359077313278,0.0013709859956041806
0.966,theta_zero,0.03400000000000003,0.0012539627920621355,0.0012225310431432585,0.0001785467445598564
0.966,mean_impute,0.03400000000000003,0.001248851799995565,0.0012225310431432585,-0.0006223848106420155
0.966,exclude,0.03400000000000003,0.03658584551819655,0.0012225310431432585,-0.0019057573392907944
